fecha,TmaxC,TminC,Lluvia
1996-06-07,NA,NA,0
1996-06-08,NA,NA,0
1996-06-09,NA,NA,0
1996-06-10,NA,NA,0
1996-06-11,NA,NA,0
1996-06-12,NA,NA,0
1996-06-13,NA,NA,8.1
1996-06-14,NA,NA,0
1996-06-15,NA,NA,0
1996-06-16,NA,NA,0
1996-06-17,NA,NA,0.6
1996-06-18,NA,NA,0
1996-06-19,NA,NA,31
1996-06-20,NA,NA,2.1
1996-06-21,NA,NA,12.8
1996-06-22,NA,NA,0
1996-06-23,NA,NA,11.6
1996-06-24,NA,NA,2.3
1996-06-25,NA,NA,NA
1996-06-26,NA,NA,21
1996-06-27,NA,NA,46.7
1996-06-28,NA,NA,33.2
1996-06-29,NA,NA,2.1
1996-06-30,NA,NA,8.6
1996-07-01,NA,NA,10.9
1996-07-01,NA,NA,10.9
1996-07-02,NA,NA,4
1996-07-03,NA,NA,2.2
1996-07-04,NA,NA,0
1996-07-05,NA,NA,9.2
1996-07-06,NA,NA,0
1996-07-07,NA,NA,0
1996-07-08,NA,NA,24.6
1996-07-09,NA,NA,1.6
1996-07-10,NA,NA,0
1996-07-11,NA,NA,0
1996-07-12,NA,NA,0
1996-07-13,NA,NA,4.2
1996-07-14,NA,NA,0
1996-07-15,NA,NA,0
1996-07-16,NA,NA,0
1996-07-17,NA,NA,0
1996-07-18,NA,NA,26.4
1996-07-19,NA,NA,0
1996-07-20,NA,NA,0
1996-07-21,NA,NA,0
1996-07-22,NA,NA,11.9
1996-07-23,NA,NA,2.5
1996-07-24,NA,NA,2.5
1996-07-25,NA,NA,0
1996-07-26,NA,NA,1
1996-07-27,NA,NA,0
1996-07-28,NA,NA,0
1996-07-29,NA,NA,66
1996-07-30,NA,NA,1
1996-07-31,NA,NA,3.7
1996-08-01,NA,NA,0
1996-08-01,NA,NA,0
1996-08-02,NA,NA,0
1996-08-03,NA,NA,0
1996-08-04,NA,NA,0
1996-08-05,NA,NA,0
1996-08-06,NA,NA,0
1996-08-07,NA,NA,11.9
1996-08-08,NA,NA,1
1996-08-09,NA,NA,54.5
1996-08-10,NA,NA,65.3
